
=== CAPTURE 2026-09-03T16:00:41.518748 ===
16:00:45.576 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.592 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.618 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.624 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.642 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.648 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.663 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.669 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.682 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.688 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.705 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.712 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.729 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.735 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.748 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.754 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.768 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.774 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
16:00:45.792 | B1 30 7F     | CC 30 value=7F                      | control_change channel=1 control=48 value=127 time=0
